"","L3_Control_heterozygous_1","L3_Control_heterozygous_2","L3_Control_heterozygous_3","L3_Control_heterozygous_4","L3_Control_heterozygous_5","L3_Control_heterozygous_6","L3_Control_heterozygous_7","L3_Control_heterozygous_8","L3_Pantethine_heterozygous_1","L3_Pantethine_heterozygous_2","L3_Pantethine_heterozygous_3","L3_Pantethine_heterozygous_4","L3_Pantethine_heterozygous_5","L3_Pantethine_heterozygous_6","L3_Pantethine_heterozygous_7","L3_Pantethine_heterozygous_8","L3_VitaminB5_heterozygous_1","L3_VitaminB5_heterozygous_2","L3_VitaminB5_heterozygous_3","L3_VitaminB5_heterozygous_4","L3_VitaminB5_heterozygous_5","L3_VitaminB5_heterozygous_6","L3_VitaminB5_heterozygous_7"
"e343171c47032424916416acbd2e45c7",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"88102669f67ed8611f26d5251bfcf020",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7e2665cb299c69a3bb18b330920d837b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"0e1319cde81b5a76b62ee29f3211b108",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"f4245ca57855e449c68bd1f6a92ef96f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"1b1092e1ea11e2631434447639629423",133,151,131,159,149,156,163,168,130,134,140,149,143,131,135,127,124,142,154,111,80,161,106
"06e8dc141dea671d321d0127b3cdadee",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"d4d999d816365b5e7e26f29e1b3961c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"48f47b0216d016c6014b9ff6e6066dca",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d16cd32fa68385340e879902ba285bf",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
