;Wild type_1;dPANK/fbl_1;dPANK/fbl_2;Wild type_2;Wild type_3;Wild type_4;dPANK/fbl_3;dPANK/fbl_4;Wild type_5;dPANK/fbl_5;Kingdom;Phylum;Class;Order;Family;Genus;Species
d1f794eb4ec60ebbbacbaeeafd6e048d;1753;689;22;1731;1731;1099;1762;1372;1422;1769;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;uncultured bacterium
259296e6ad05c6118fd85b48715d3657;16;3;0;14;1;5;8;3;17;9;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus plantarum
89a97b32fe9a8499e2da652f0a103d5f;10;4;0;12;1;5;5;1;7;6;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;
79bbcbd18a67704612a75def6d227517;8;0;0;4;89;5;17;208;318;2;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus
d5eb3526b89702d07bd756ddd0eded69;8;0;0;3;3;5;3;6;4;5;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Rhodoferax;
1d759d9769a2525fc0682c20437817cb;7;1081;0;2;3;1;2;4;6;1;Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;uncultured gamma proteobacterium
93572bf5ec39f17607a2ed64841ee0e9;7;0;0;3;3;2;3;8;4;3;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
94d30be1c6993d92eee39ecbf6562657;4;5;0;2;3;4;6;3;1;4;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Oceanisphaera;uncultured bacterium
32757a5475aea09a7430aeb4ff4e4b47;3;0;0;1;0;2;0;0;0;0;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;uncultured bacterium
408884094841d392d02e1a0b01b2fcc5;3;0;0;0;0;0;3;1;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
4192affd0680e9f29fcf24b8fe44146c;3;0;0;1;1;2;4;0;0;0;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Sva1033;uncultured bacterium;uncultured bacterium
48e8dc95154fd60b9feb492f4874bba1;3;0;0;0;0;2;1;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;uncultured;uncultured bacterium
63730b79cf39a82b00131355faac0c25;3;0;0;0;4;2;0;3;0;4;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;
6761ee257cde7b9e3382b063e4784a9a;3;2;0;2;0;1;0;0;1;2;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Arenibacter;uncultured bacterium
81d31e437f4cc82b4a180068e0819974;3;0;0;0;3;2;1;5;3;0;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;uncultured bacterium
bf58dfcbd5e8d3890d47e87e71a187f2;3;0;0;0;0;0;0;0;1;0;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
cf7372e11c84204c8efaa14b4f1459e2;3;0;0;1;1;0;3;1;0;0;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;;
dddf9fb39d40a6005132399934f2d198;3;0;0;2;0;2;0;0;0;0;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
f705c8b4c5fbdda48aecf09a958a9a0f;3;0;0;2;1;2;3;0;0;0;Bacteria;Proteobacteria;;;;;
01ce3131a03c5a866dabb1e587965f8d;2;2;0;0;2;1;0;1;1;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Hoppeia;uncultured bacterium
031c8431aae2272ca1c221155e5d2ee0;2;0;0;3;0;0;0;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gramella;
20c9ad150843829f232ddcd117921dd4;2;2;0;0;0;2;1;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;
2936d316976d4ad5e963f91cd7e7fd65;2;0;0;1;0;1;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella frigidimarina
37d600efe5c028c566df62d3f6c28239;2;0;0;0;0;0;0;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Arenibacter;Arenibacter sp.
3afd787ff10d7fe178e8cefb1d3d576b;2;0;0;1;0;1;0;1;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;;
